Subcontractor Schedule of Rates Summary,,,,,,,,,,
,,,,,,,,,,
2GFT-20: Craig Comms,,,,,,,,,,
,,,,,,,,,,
Lend Lease,,,,,,,,,,
,,,,,,,,,,
SoR Code,Asset,UoM,Subcontractor,Rate,Actual Qty,Actual Value,,,Node,Contractor
,000000013002281802,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,05,Matt DeMarco
,000000013002281834,10 pr,Craig Comms,$ 17.23,60,"$ 1,033.80",,,02,Matt DeMarco
,000000013002281972,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,01,"Madison Rodier, Mark Rodier"
,000000013002282306,10 pr,Craig Comms,$ 17.23,20,$ 344.60,,,14,"Madison Rodier, Mark Rodier"
,000000013002283042,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,16,Matt DeMarco
,000000013002283192,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,11,"Madison Rodier, Mark Rodier"
,000000013002283919,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,02,Matt DeMarco
,000000013002285242,10 pr,Craig Comms,$ 17.23,120,"$ 2,067.60",,,19,"Madison Rodier, Mark Rodier"
,000000013002285293,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,20,"Stephen Jablonka, Glen Turner"
,000000013002285343,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,06,"Madison Rodier, Mark Rodier"
,000000013002285362,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,18,"Stephen Jablonka, Glen Turner"
,000000013002297318,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,11,"Madison Rodier, Mark Rodier"
,000000013002297339,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,12,Matt DeMarco
,000000013002310860,10 pr,Craig Comms,$ 17.23,70,"$ 1,206.10",,,04,Matt DeMarco
,000000013002311521,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,03,"Stephen Jablonka, Glen Turner"
,000000013002314968,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,15,"Stephen Jablonka, Glen Turner"
,000000015003467809,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,17,Matt DeMarco
,,,,,,,,,,
07-01-01-04/01-01,Upgrading of an existing CCU from 900 type to 1800 type.,ea,,$ 250.00,19,"$ 4,750.00",,,,
,000000006500552622,ea,Craig Comms,$ 250.00,1,$ 250.00,,,20,"Stephen Jablonka, Glen Turner"
,000000006500563014,ea,Craig Comms,$ 250.00,1,$ 250.00,,,08,"Madison Rodier, Mark Rodier"
,000000006503739861,ea,Craig Comms,$ 250.00,1,$ 250.00,,,21,"Stephen Jablonka, Glen Turner"
,000000013002280546,ea,Craig Comms,$ 250.00,1,$ 250.00,,,06,"Madison Rodier, Mark Rodier"
,000000013002280547,ea,Craig Comms,$ 250.00,1,$ 250.00,,,06,"Madison Rodier, Mark Rodier"
,000000013002281077,ea,Craig Comms,$ 250.00,1,$ 250.00,,,07,"Stephen Jablonka, Glen Turner"
,000000013002281102,ea,Craig Comms,$ 250.00,1,$ 250.00,,,09,"Stephen Jablonka, Glen Turner"
,000000013002281193,ea,Craig Comms,$ 250.00,1,$ 250.00,,,10,Matt DeMarco
,000000013002281425,ea,Craig Comms,$ 250.00,1,$ 250.00,,,13,Matt DeMarco
,000000013002281761,ea,Craig Comms,$ 250.00,1,$ 250.00,,,01,"Madison Rodier, Mark Rodier"
,000000013002281802,ea,Craig Comms,$ 250.00,1,$ 250.00,,,05,Matt DeMarco
,000000013002281834,ea,Craig Comms,$ 250.00,1,$ 250.00,,,02,Matt DeMarco
,000000013002281972,ea,Craig Comms,$ 250.00,1,$ 250.00,,,01,"Madison Rodier, Mark Rodier"
,000000013002283919,ea,Craig Comms,$ 250.00,1,$ 250.00,,,02,Matt DeMarco
,000000013002285242,ea,Craig Comms,$ 250.00,1,$ 250.00,,,19,"Madison Rodier, Mark Rodier"
,000000013002285293,ea,Craig Comms,$ 250.00,1,$ 250.00,,,20,"Stephen Jablonka, Glen Turner"
,000000013002285362,ea,Craig Comms,$ 250.00,1,$ 250.00,,,18,"Stephen Jablonka, Glen Turner"
,000000013002311521,ea,Craig Comms,$ 250.00,1,$ 250.00,,,03,"Stephen Jablonka, Glen Turner"
